word,sent
maldita sea,-4
Peligro,-2
daredevil,2
daring,2
El más oscuro,-2
Oscuridad,-1
dauntless,2
dead,-3
Punto muerto,-2
deafening,-1
Rocío,2
dearly,3
Muerte,-2
elegante,2
Deuda,-2
engaño,-3
deceitful,-3
engañar,-3
deceived,-3
engaño,-3
deceiving,-3
engaño,-3
decisive,1
dedicated,2
defeated,-2
defecto,-3
Defectos,-3
defender,2
defenders,2
defenseless,-2
aplazar,-1
aplazando,-1
ófido,-1
déficit,-2
degradar,-2
degraded,-2
degradarse,-2
Deshumanizar,-2
dehumanized,-2
Dehumanitas,-2
Deshumanizar,-2
trastorno,-2
dejected,-2
descargar,-2
dejects,-2
demora,-1
delayed,-1
deleitar,3
contento,3
deleitando,3
delicias,3
demanda,-1
demanded,-1
demandante,-1
Demandas,-1
demostración,-1
demora,-2
denied,-2
denier,-2
deniers,-2
negaciones,-2
Denunciar,-2
mella,-2
Denegar,-2
Negar,-2
depressed,-2
deprimente,-2
hacer descarrilar,-2
derailed,-2
descarrilar,-2
ridiculizar,-2
derided,-2
burlarse,-2
burla,-2
burla,-2
disco,2
deseo,1
desired,2
desirous,2
mostrar,-3
menospreciar,-3
despairs,-3
desperate,-3
Despreciantemente,-3
deportista,-3
destruir,-3
destroyed,-3
destroying,-3
destruir,-3
destrucción,-3
destructive,-3
detached,-1
Detener,-2
detained,-2
Fijador,-2
determined,2
devastar,-2
devastated,-2
devastating,-2
devoted,3
Diamante,1
polla,-4
gilipollas,-4
MORIR,-3
died,-3
DIFÍCIL,-1
diffident,-2
dilema,-1
dipshit,-3
bien,-3
direful,-3
suciedad,-2
más sucio,-2
más sucio,-2
dirty,-2
incapacitante,-1
desventaja,-2
disadvantaged,-2
desaparecer,-1
disappeared,-1
desaparece,-1
decepcionar,-2
disappointed,-2
decepcionante,-2
decepción,-2
decepciones,-2
disappoints,-2
desastre,-2
desastres,-2
disastrous,-3
desglosar,-2
descarga,-1
discarded,-1
desechando,-1
descargas,-1
disconsolate,-2
desconsolación,-2
Discentido,-2
Discordia,-2
Con descuento,-1
divestación,-2
discredited,-2
desdén,-2
desgracia,-2
desgracia,-2
desescarse,-1
disguised,-1
disfraz,-1
asco,-1
asco,-3
asco,-3
desagradable,-3
disheartened,-2
dishonest,-2
desilusión,-2
desinclín,-2
disjointed,-2
disgusto,-2
desagüe,-2
dismayed,-2
trastorno,-2
trastorno,-2
trastorno,-2
fragmento,-2
frágil,-2
ficks,-2
frágil,-2
displeased,-2
disputar,-2
disputed,-2
disputas,-2
concurso,-2
disqualificado,-2
disketing,-2
indiferencia,-2
disregarded,-2
sin tener en cuenta,-2
indiferencia,-2
falta de respeto,-2
no respetado,-2
interrumpir,-2
ruptura,-2
disruptivo,-2
disistido,-2
clavija,-2
distorted,-2
de esta,-2
Detortes,-2
distraer,-2
distraer,-2
distracción,-2
distrae,-2
angustia,-2
distressed,-2
angustia,-2
distressing,-2
desconfianza,-3
distrustful,-3
molestar,-2
disturbed,-2
disturbio,-2
molestar,-2
timbre,-2
Dioso,-1
regate,-2
dodgy,-2
NO FUNCIONA,-3
Doloroso,-2
No me gusta,-2
condenar,-2
doomed,-2
doble,-1
doble,-1
doble,-1
doble,-1
Dobles,-1
Ducha,-3
Gilipollas,-3
downcast,-2
downhearted,-2
Abajo,-2
arrastrar,-1
dragged,-1
arrastramiento,-1
drained,-2
miedo,-2
dreaded,-2
terrible,-3
temor,-2
sueño,1
Sueños,1
dreary,-2
droopy,-2
Gota,-1
ahogar,-2
Ahogue,-2
drowns,-2
drunk,-2
dubious,-2
dud,-2
dull,-2
dumb,-3
dumbass,-3
vertedero,-1
dumped,-2
dumps,-1
engañar,-2
duped,-2
disfunción,-2
eager,2
earnest,2
facilidad,2
fácil,1
ecstatic,4
eerie,-2
eery,-2
Eficaz,2
Efetivamente,2
elated,3
comiendo,3
elegante,2
esmeradamente,2
avergonzar,-2
embarrassed,-2
vergüenza,-2
embarrassing,-2
vergüenza,-2
embittered,-2
abarcar,1
emergencia,-2
paetético,2
vacío,-1
empty,-1
enchanted,2
encourage,2
encouraged,2
encouragement,2
manejo,2
respaldo,2
endorsed,2
aprobación,2
respaldo,2
enemies,-2
enemy,-2
energetic,2
compromiso,1
compromisos,1
engrossed,1
disfrutar,2
que acompaña,2
disfrutar,2
iluminar,2
enlightened,2
enlightening,2
iluminar,2
tedio,-2
ataque,-2
enraged,-2
enriquecimiento,-2
enfurecible,-2
brillar,3
esclavizar,-2
enslaved,-2
enslaves,-2
tensura,1
arboleda,1
enterprising,1
Entretenimiento,2
cautivar,3
Entusiasta,3
Con derecho,1
entrusted,2
bañera,-1
Sandoso,-2
envidiar,-1
envidiar,-1
erroneous,-2
error,-2
errores,-2
escape,-1
escape,-1
atasco,-1
esteemed,2
ethical,2
Euforia,3
euphoric,4
evitación,-1
Demonio,-3
exagerar,-2
exaggerated,-2
Exagerar,-2
exaggerating,-2
exasperated,2
excelencia,3
excelente,3
excitar,3
entusiasmado,3
excitación,3
emocionante,3
borrar,-1
excluded,-2
exclusión,-1
exclusive,2
eco,-1
ejemplar,-1
exhausted,-2
exhilado,3
regañador,3
estimulante,3
exonerar,2
exonerated,2
exonerarse,2
exonerating,2
expandir,1
expansión,1
sobresalir,-2
anexo,-2
exhibición,-2
Expulsión,-2
explotar,-2
exploited,-2
explotación,-2
exploits,-2
explotación,1
explotación,1
anexo,-1
exposed,-1
anexo,-1
exposición,-1
extender,1
extender,1
Exuberante,4
exultant,3
exultantemente,3
fabulous,4
moda,-2
MARICÓN,-3
faggot,-3
faggots,-3
fallar,-2
failed,-2
defecto,-2
Fallas,-2
falla,-2
Fallas,-2
fainthearted,-2
fair,2
fe,1
fiel,3
fake,-3
falsificaciones,-3
fake,-3
fallen,-2
descendente,-1
falso,-3
falsificar,-3
fama,1
fan,3
fantastic,4
farsa,-1
fascinar,3
fascinated,3
fascinar,3
fascinante,3
fascista,-2
fascistas,-2
fatalidad,-3
fatalidad,-3
fatiga,-2
fatigued,-2
fatigar,-2
fatiga,-2
favor,2
favored,2
favorite,2
favorited,2
favorites,2
favor,2
miedo,-2
fearful,-2
fearing,-2
valiente,2
temible,-2
Harto,-3
débil,-2
sentimiento,1
delitos graves,-3
delito,-3
ferviente,2
fervoroso,2
festive,2
fiasco,-3
fidgety,-2
luchar,-1
bien,2
fuego,-2
fired,-2
disparo,-2
adaptar,1
aptitud física,1
buque insignia,2
moscas,-1
fracaso,-2
chocolas,-2
Gripe,-2
flustered,-2
focused,2
fond,2
cariño,2
fool,-2
foolish,-2
fools,-2
forced,-1
juicio hipotecario,-2
juicio hipotecario,-2
olvidar,-1
forgetful,-2
perdonar,1
indulgente,1
forgotten,-1
fortuna,2
frantic,-1
fraude,-4
fraude,-4
fraudster,-4
fraudsters,-4
fraude,-4
fraudulent,-4
gratis,1
libertad,2
Frenesí,-3
fresh,1
amigable,2
susto,-2
frightened,-2
alarmante,-3
frikin,-2
frisky,2
frowning,-1
frustrar,-2
frustrated,-2
frustrar,-2
frustrante,-2
frustración,-2
FTW,3
Mierda,-4
fucked,-4
fucker,-4
Cabron,-4
Mierda,-4
Cabezal,-4
fucking,-4
Fucktard,-4
fud,-3
fútido,-4
cuidadoso,-4
realizar,2
fulfilled,2
cumplen,2
timbre,-2
fun,4
funeral,-1
funerales,-1
funky,2
más divertido,4
funny,4
furious,-3
fútil,2
mordaza,-2
gagged,-2
ganar,2
Ganado,2
ganancia,2
Ganancias,2
Galante,3
Gallardamente,3
galantería,3
generous,2
genio,3
fantasma,-1
giddy,-2
regalo,2
glad,3
glamorous,3
glamourous,3
alegría,3
gleeful,3
oscuridad,-1
gloomy,-2
glorious,2
gloria,2
glum,-2
Dios,1
Maldito,-3
Bendición,4
bien,3
Bondad,3
gracia,1
Cortés,3
grande,3
Conceder,1
Otorgada,1
concesión,1
Subsidios,1
grateful,3
gratificación,2
grave,-2
gris,-1
excelente,3
mayor que,3
mejor,3
Codicia,-3
greedy,-2
Lavado verde,-3
Lavado verde,-3
Enjuague,-3
Lavavajillas,-3
Lavavajillas,-3
Lavado verde,-3
arboleda,1
greeted,1
saludo,1
saludos,2
Saludo,1
Gris,-1
dolor,-2
grieved,-2
gross,-2
Creciente,1
Crecimiento,2
garantía,1
culpa,-3
Culpable,-3
crianza,-2
gullible,-2
pistola,-1
hay,2
hacked,-1
ja ja,3
jajaja,3
jajaja,3
granizo,2
hailed,2
hapless,-2
Desventura,-2
felicidad,3
feliz,3
hard,-1
Más fuerte,2
privación,-2
RESISTENTE,2
jamón,-2
harmed,-2
harmful,-2
hamor,-2
Daños,-2
harried,-2
harsh,-2
más duro,-2
más duro,-2
odiar,-3
hated,-3
haters,-3
odios,-3
hautado,-3
guarida,-1
haunted,-2
obsesionante,1
guaridas,-1
estragos,-2
saludable,2
heartbreaking,-3
Desconsolado,-3
heartfelt,3
cielo,2
Celestial,4
Corazón pesado,-2
Infierno,-4
Ayuda,2
Útil,2
Ayudar,2
helpless,-2
Ayuda,2
héroe,2
héroes,2
heroic,3
vacilante,-2
dudar,-2
hidradé,-1
esconder,-1
esconder,-1
ocultación,-1
destacar,2
hilarious,2
hindú,-2
hoox,-2
homesick,-2
honest,2
Honor,2
honored,2
Honor,2
hueco,2
honoured,2
Honor,2
hooligan,-2
Gamberrismo,-2
Hooligans,-2
esperanza,2
hopeful,2
Con un poco de suerte,2
desesperanzado,-2
desesperación,-2
esperanzas,2
esperando,2
hrendoso,-3
horrible,-3
Horrifi,-3
horrified,-3
hostil,-2
mercachifle,-2
abrazo,2
Enorme,1
ABRAZOS,2
enfermo,3
humiliated,-3
humillación,-3
humor,2
humor,2
humor,2
humourous,2
hambre,-2
Hurra,5
herir,-2
hurting,-2
duele,-2
hipócrita,-2
histeria,-3
hysterical,-3
Histerismo,-3
idiot,-3
idiota,-3
ignorancia,-2
ignorante,-2
ignoralo,-1
ignored,-2
ignorancia,-1
ill,-2
ilegal,-3
analfabetismo,-2
enfermedad,-2
enfermedades,-2
imbécil,-3
immobilized,-1
inmoral,2
inmune,1
impaciente,-2
imperfect,-2
importar,2
importante,2
imponer,-1
imposible,-1
impacto,-1
impacto,-1
impotente,-2
impresión,3
impressed,3
impresión,3
impresionante,3
imprisoned,-2
improve,2
mejorado,2
prisión,2
prisión,2
mejorando,2
incapacitante,-2
impacto,-2
inadequate,-2
incapaz,-2
incapacitante,-2
incensed,-2
incompetencia,-2
incompetente,-2
inconsiderate,-2
inconveniencia,-2
inconveniente,-2
incretar,1
increased,1
indecisive,-2
indestructable,2
indiferencia,-2
Indiferente,-2
indignant,-2
indignación,-2
Adoctrinar,-2
indoctrinated,-2
indoctrinates,-2
De adoctrinamiento,-2
inefactivo,-2
Ineftivamente,-2
chiflado por,2
Obsesión,2
infected,-2
abajo,-2
infaminado,-2
influyente,2
infracción,-2
enfurecer,-2
infuriated,-2
enfurece,-2
exasperante,-2
inhibir,-1
lesión,-2
lesión,-2
injusticia,-2
Innovar,1
Innovación,1
Innovación,1
innovative,2
Inquisición,-2
inquisitive,2
insane,-2
locura,-2
insecure,-2
insensible,-2
insensibilidad,-2
insignificante,-2
insipid,-2
inspiración,2
inspirational,2
inspirar,2
inspired,2
inspires,2
inspiring,3
insulto,-2
insulted,-2
insultante,-2
insultos,-2
intact,2
integridad,2
Inteligente,2
intense,1
interestatal,1
interested,2
interesante,2
intermitentes,1
interrogated,-2
interrumpir,-2
interrumpir,-2
interrupción,-2
interrupción,-2
interrupciones,-2
intimidar,-2
intimidated,-2
intimidates,-2
intimidante,-2
intimidación,-2
intricate,2
intriga,1
invencible,2
invitar,1
inviting,1
Invulnerable,2
ir a,-3
ironic,-1
Ironía,-1
irracional,-1
irresistible,2
irresoluto,-2
irresponsable,2
irreversible,-1
irritar,-3
irritated,-3
irritante,-3
aislar,-1
que produce picor,-2
jackass,-4
Imbéciles,-4
jailed,-2
alegre,2
jealous,-2
Peligro,-2
idiota,-3
Jesús,1
Joya,1
Joyas,1
jocular,2
Unirse,1
broma,2
bromas,2
Alegre,2
jovial,2
Alegría,3
Alegre,3
Alegremente,3
Triste,-2
joyous,3
jubilant,3
jumpy,-1
justicia,2
Justamente,2
justified,2
afecto,1
matar,-3
killed,-3
asesinato,-3
matar,-3
amable,2
amable,2
beso,2
Prestigio,3
falta,-2
lackadaisical,-2
retraso,-1
lagged,-2
rezagado,-2
retraso,-2
lame,-2
punto de referencia,2
Laung,1
laughed,1
reír,1
Risas,1
reír,1
lanzado,1
ley,3
DEMANDA JUDICIAL,-2
Demandas,-2
lazy,-1
filtración,-1
filtrado,-1
dejar,-1
Fresco,1
Legal,1
Indulgente,1
Letángico,-2
letra,-2
liar,-3
liars,-3
liborous,-2
MINTIÓ,-2
salvavidas,4
Alegre,1
como,2
MINTIÓ,2
gustos,2
limitación,-1
limited,-1
Perímetro,-1
litigio,-1
litigoso,-2
lively,2
livid,-2
lmao,4
lmfao,4
detestar,-3
loathed,-3
deterioro,-3
mordaz,-3
vestíbulo,-2
cabildeo,-2
jajaja,3
lonely,-2
lonesome,-2
anhelo,-1
telar,-1
asalto,-1
inminente,-1
telares,-1
perder,-3
perder,-3
loser,-3
perdiendo,-3
Pérdida,-3
lost,-3
amable,3
amar,3
loved,3
lovelies,3
bocadillo,3
loving,2
el más bajo,-1
leal,3
Lealtad,3
Suerte,3
Afortunadamente,3
lucky,3
LÚGUBRE,-2
lunatic,-3
lunatics,-3
Acechar,-1
alfombrilla de ratón,-1
actos,-1
mad,-3
maddening,-3
made-up,-1
Locamente,-3
Locura,-3
mandador,-1
manipulated,-1
manipulación,-1
manipulación,-1
Maravilla,3
marvelous,3
Maravillas,3
Obra maestra,4
obras maestras,4
asunto,1
asuntos,1
mature,2
meaningful,2
sin sentido,-2
medalla,3
mediocry,-3
meditative,1
melancolía,-2
amenaza,-2
menaced,-2
Merced,2
Alegre,3
Desorden,-2
Desordenado,-2
Estropeando,-2
methodical,2
Imbécil,-2
milagro,4
Mitón,3
ALEGRE,3
Alegremente,3
Portarse mal,-2
Malhechado,-2
Malhechor,-2
misbehaving,-2
Travesura,-1
travesuras,-1
miserable,-3
miseria,-2
recelo,-2
desinformación,-2
mal informado,-2
malinterpretado,-2
misleading,-3
leer mal,-1
Mal información,-2
desgracia,-2
Extrañar,-2
omitido,-2
missing,-2
mystake,-2
mistenido,-2
mystakes,-2
mortero,-2
Maldito,-2
misunderstanding,-2
misenuables,-2
Misenúdicoado,-2
Gemir,-2
moaned,-2
gemido,-2
Gemido,-2
imitar,-2
burlado,-2
mocking,-2
imitar,-2
aturdimiento,-2
monopolizar,-2
monopolized,-2
monopolios,-2
monopolizante,-2
moody,-1
fregar,-1
fregar,-1
Imbécil,-3
hijo de puta,-5
hijo de puta,-5
motivar,1
motivated,2
motivating,2
motivación,1
Llorar,-2
mourned,-2
TRISTE,-2
luto,-2
Dolores,-2
Malhumorado,-2
fusible,-2
murderer,-2
asesinato,-3
murderous,-3
asesinatos,-2
Mito,-1
N00B,-2
naive,-2
nasty,-3
Natural,1
naïve,-2
Necesitado,-2
negative,-2
negatividad,-2
neglect,-2
neglected,-2
neglecting,-2
neglects,-2
nervio,-1
nervous,-2
nerviosamente,-2
nice,3
Hábil,2
niggas,-5
nigger,-5
en el,-1
a diversión,-3
noble,2
noisy,-1
disparates,-2
novato,-2
nosey,-2
no es bueno,-2
No funciona,-3
notorious,-2
novel,2
adormecer,-1
nueces,-3
obliterar,-2
obliterar,-2
desagradable,-3
obscene,-2
obsessed,2
obsolete,-2
bisagra,-2
ajetreo,-2
obstinate,-2
odd,-2
Aflojar,-2
Ofensado,-2
delincuente,-2
saliente,-2
Ofender,-2
offline,-1
oks,2
ominous,3
una vez en la vida,3
Oportunidades,2
oportunidad,2
oppressed,-2
oppressive,-2
optimizar,2
Optimista,2
sin opción,-2
grito,-2
outmaneuvered,-2
outrage,-3
outraged,-3
superar a,2
desagüe,5
lleno de alegría,4
sobrecarga,-1
pasado por alto,-1
sobrereaccionar,-2
reaccionado exagerado,-2
exhibición,-2
reaccionan exagerados,-2
exceso de venta,-2
exagerado,-2
oversells,-2
simplificación excesiva,-2
Superplificado,-2
Superplificado,-2
simplificar demasiado,-2
subconjunción,-2
Exageración,-2
exceso de peso,-1
Oxímoron,-1
dolor,-2
pained,-2
panic,-3
pánico,-3
pánico,-3
paraíso,3
paradoja,-1
Indulto,2
pardoned,2
indulto,2
Indultos,2
parlamentar,-1
passionate,2
passive,-1
pase,-1
pathetic,-2
Pagar,-1
pecia,2
peaceful,2
pacíficamente,2
multa,-2
pensive,-1
perfect,3
perfected,2
Perfectamente,3
Perfectts,2
peligro,-2
perjurio,-3
perpetrator,-2
perpetrators,-2
perplexed,-2
perseguir,-2
perseguir,-2
perseguir,-2
persecuting,-2
disturbio,-2
pesky,-2
pescado,-2
pesimista,-2
petrified,-2
phobic,-2
picturesque,2
amontonar,-1
recogedor,-2
piqued,-2
orinar,-4
pissed,-4
orina,-3
piteous,-2
pitied,-1
Lástima,-2
playful,2
agradable,3
por favor,1
pliegue,3
placer,3
páramo,-2
veneno,-2
poisoned,-2
venenos,-2
contaminar,-2
brote,-2
derramar,-2
contaminantes,-2
pollutes,-2
pobre,-2
más pobre,-2
más pobre,-2
popular,3
positive,2
parado,2
possessive,-2
posponer,-1
postponed,-1
Pospones,-1
posponería,-1
Pobreza,-1
powerful,2
Impotente,-2
elogio,3
praised,3
orses,3
elogio,3
Orar,1
Orando,1
Reza,1
PRBLM,-2
PRBLMS,-2
prepared,1
presión,-1
pressured,-2
pretender,-1
intencional,-1
intención,-1
pretty,1
Prevenir,-1
Prevenir,-1
prevenir,-1
Evitan,-1
pinchazo,-5
prisión,-2
prisoner,-2
prisoners,-2
privileged,2
proactive,2
problema,-2
problema,-2
acaparador,-2
Progreso,2
prominente,2
promesa,1
promised,1
promesas,1
promover,1
promoted,1
promociona,1
promoviendo,1
publicidad,-2
enjuiciar,-1
prosecuted,-2
prosecutes,-1
enjuiciamiento,-1
prospecto,1
prospectos,1
prosperous,3
proteger,1
protected,1
protege,1
protesta,-2
Manifestantes,-2
protestante,-2
Protestas,-2
proud,2
con orgullo,2
provocar,-1
provoked,-1
provacas,-1
provisión,-1
pseudociencia,-3
castigar,-2
punished,-2
castigar,-2
castigo,-2
pushy,-1
puzzled,-2
temblante,-2
pregunta,-2
questioned,-1
interrogatorio,-1
racismo,-3
racista,-3
racistas,-3
furia,-2
rageful,-2
rainy,-1
despotricar,-3
Despotricador,-3
pilotas,-3
diatriba,-3
rapé,-4
rapist,-4
rapto,2
con rapto,2
éxtasis,2
rapturous,4
erupción,-2
ratified,2
Alcanzar,1
reached,1
alcance,1
alcance,1
tranquilizar,1
tranquilo,1
rehabilitación,1
reassuring,2
rebelión,-2
recesión,-2
imprudente,-2
recommend,2
recommended,2
recommends,2
redeemed,2
rechazo,-2
refused,-2
refusing,-2
arrepentirse,-2
regretful,-2
remordimientos,-2
regretted,-2
lamentando,-2
rechazar,-1
rechazar,-1
rejecting,-1
rejects,-1
alegrarse,4
rejoiced,4
alegrarse,4
alegría,4
relaxed,2
importante,-1
reliant,2
aliviar,1
relieved,2
Alivio,1
alivio,2
relishing,2
notable,2
remoord,-2
rechazar,-1
repulsed,-2
rescate,2
rescatada,2
recuperación,2
resentful,-2
renunciar,-1
renunciar,-1
renuncia,-1
renuncia,-1
resolución,2
resolver,2
resolved,2
resolver,2
resolver,2
respeto,2
sensible,2
responsive,2
restful,2
restless,-2
restaurar,1
restored,1
residentes,1
restauración,1
restringir,-2
restricted,-2
restricting,-2
restricción,-2
restringe,-2
retained,-1
retardar,-2
retarded,-2
retiro,-1
venganza,-2
revengeful,-2
revered,2
volver a vivir,2
Revivir,2
Premio,2
rewarded,2
gratificante,2
Recompensas,2
rich,2
ridiculous,-3
plataforma,-1
